,Chips,Current_Bet,Draws,Last_Action,Last_Action_Bet
0,0,200,0,5,200
0,238,13,0,2,13
0,238,13,0,2,13
0,238,13,0,0,0
0,238,13,0,0,0
0,0,238,0,5,238
0,0,238,0,5,238
0,268,10,0,0,0
0,268,10,0,-1,0
0,0,268,0,5,268
0,0,268,0,5,268
0,137,10,0,0,0
0,97,10,0,0,0
0,77,20,0,0,0
0,176,24,0,4,24
0,176,24,0,4,24
0,0,200,0,5,200
0,0,200,0,5,200
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,200,0,5,200
0,0,200,0,5,200
0,175,25,0,4,25
0,175,25,0,4,25
0,125,75,0,4,75
0,125,75,0,4,75
0,79,121,0,2,121
0,79,121,1,0,0
0,0,79,0,5,79
0,0,79,0,5,79
0,0,79,1,5,79
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
0,0,0,0,-1,0
